p1,p2,p3,p4,q1,q2,q3,q4
2.297142744,0.455893427,1.419354796,0.388022006,5.250000477,39.79000092,3.100000143,43.58000565
2.342657328,0.458641768,1.53401351,0.392192602,12.86999798,31.06999588,2.939999819,27.40999794
1.908593535,0.248258993,0.737463117,0.526949704,31.06999588,53.12999725,13.55999851,33.20999527
1.549966455,0.558148324,2.06204915,0.637042761,14.91000175,52.7100029,6.930000305,38.82000351
2.174262762,0.592754245,1.729222536,0.643266499,7.460000515,22.91000175,3.730000257,13.96000195
1.90481174,0.373114318,1.637764931,0.47840333,9.56000042,29.82999802,5.18999958,33.56999969
1.746558189,0.389716387,1.306990862,0.512369037,95.87998962,98.01998901,3.289999962,44.86999512
1.826975465,0.428220272,1.478571534,0.451973706,14.68000031,20.34000015,1.399999976,15.19999886
2.660346031,0.638440609,0.751751781,0.53709662,72.25001526,102.8600159,9.990001678,108.7700195
1.715983391,0.629593372,1.631296873,0.591836751,16.82999802,20.40999985,9.32999897,51.44999695
1.410445213,0.926239431,2.120879173,0.756833673,29.86999702,16.53999901,2.729999781,17.55999756
1.987951756,0.581981957,1.352435589,0.404269665,7.46999979,11.10000038,3.49000001,44.5
1.290015817,0.284503967,0.72380954,0.257734597,6.31000042,36.59000397,5.250000954,39.11000443
1.49371767,0.279174715,0.989361703,0.339229316,13.53000069,15.51000309,1.880000353,15.83000183
1.042780757,0.329283118,0.889221549,0.561521232,18.70000076,24.69000053,3.340000153,17.88000107
1.59909904,0.536916733,1.166666627,0.388888896,15.53999996,16.93000031,0.899999976,18.89999962
2.318840504,0.531763017,3.07692337,0.611607134,2.069999933,14.01000023,0.389999986,4.480000019
0.909090936,0.552147269,1.077419281,0.395065278,8.36000061,9.780000687,4.650000572,69.71000671
1.627696991,0.393788815,1.062706232,0.358158678,19.93000412,40.25000763,6.060001373,26.72000504
1.847601056,0.497925311,2.160000086,0.594801247,10.63000011,2.410000324,0.75000006,13.07999992
1.230769277,0.584821463,2.061224461,1.078369856,4.03000021,13.44000053,0.980000079,9.570000648
1.279343963,0.266817153,1.092050195,0.280636609,19.51000404,44.30000687,2.390000343,37.70000458
1.399999976,0.701694906,1.16293931,0.637747347,9.649999619,5.900000095,3.129999638,6.569999695
1.343062639,0.492714047,0.36470589,0.321568608,23.63999557,10.97999859,4.249999523,15.29999924
2.600694418,0.698303282,2.036269426,0.879432619,5.760000229,18.86000061,1.930000067,8.460000038
