,salesprice,calcacres,ENGMeanScaleScore15,median_income,age,totbath,rmtot,rmbed,fixtot,fixhalf,fixaddl,fourthquart,pct_renter_occupied,pct_above_f,pct_below_f,MATHMeanScaleScore15,pct_HSdiploma,log_median_income,sqft,lon,plon,lat,plat,pct_white,pct_black,pct_collegeDegree,median_house_value,HHsize,tract_cover,total_crime_house
54,725000,0.4151,542.4191419,111140,76,2,7,3,9,0,3,0,17.25601132,1,0,555.5377049,100,11.61854595,2249,-84.36057049,0,33.80164775,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
55,829000,0.413,542.4191419,111140,87,3,7,4,13,0,4,0,17.25601132,1,0,555.5377049,100,11.61854595,3100,-84.36276794,0,33.80067345,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
56,779900,0.2531,542.4191419,111140,87,2,7,4,10,0,4,1,17.25601132,1,0,555.5377049,100,11.61854595,2186,-84.36128996,0,33.80006359,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
57,950000,0.2847,542.4191419,111140,62,1,4,2,5,0,2,0,17.25601132,1,0,555.5377049,100,11.61854595,4104,-84.36368132,0,33.80625381,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
58,972000,0.6493,542.4191419,111140,64,3.5,9,4,15,1,4,0,17.25601132,1,0,555.5377049,100,11.61854595,6290,-84.35674085,0,33.80047771,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
59,1155000,0.4236,542.4191419,111140,64,2,8,3,10,0,4,0,17.25601132,1,0,555.5377049,100,11.61854595,4146,-84.36060247,0,33.80827531,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
60,479000,0.1765,542.4191419,160500,66,3,7,3,11,0,2,1,12.21719457,0,1,555.5377049,97.19853837,11.98604922,3703,-84.35485723,0,33.79238713,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
61,767000,0.3594,542.4191419,111140,88,2,6,3,9,0,3,0,17.25601132,1,0,555.5377049,100,11.61854595,3328,-84.35017893,0,33.79798189,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
62,714211,0.2521,542.4191419,111140,85,2.5,10,4,10,1,2,1,17.25601132,1,0,555.5377049,100,11.61854595,3200,-84.36006663,0,33.798611,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
63,841000,0.7337,542.4191419,111140,64,3,7,4,11,0,2,1,17.25601132,1,0,555.5377049,100,11.61854595,3308,-84.34964361,0,33.80304418,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
64,545900,0.6689,542.4191419,111140,87,2.5,6,3,10,1,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2211,-84.36097461,0,33.79968288,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
65,603000,0.1756,542.4191419,131389,90,2,7,2,8,0,2,0,28.31632653,0,0,555.5377049,99.57924264,11.78591767,1930,-84.35532777,0,33.78950361,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
66,415000,0.7207,542.4191419,111140,62,1.5,6,3,7,1,2,0,17.25601132,0,1,555.5377049,100,11.61854595,11000,-84.36403486,0,33.80546644,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
67,1045000,0.5808,542.4191419,111140,88,2,7,3,10,0,4,0,17.25601132,1,0,555.5377049,100,11.61854595,3500,-84.36224734,0,33.80007726,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
68,620000,0.3616,542.4191419,111140,77,2,9,3,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2144,-84.35023374,0,33.7972243,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
69,517500,0.142,542.4191419,160500,63,1.5,6,2,7,1,2,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,1325,-84.34892476,0,33.79192435,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
70,1467500,1.2155,542.4191419,111140,57,3,7,4,11,0,2,1,17.25601132,1,0,555.5377049,100,11.61854595,5700,-84.3494191,0,33.80445103,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
